Institute_code;Institute_name_it;Institute_type
7334;Accademia di Belle Arti di Torino - Albertina;Pubblico - Statale
7238;Accademia di Belle Arti di Bari;Pubblico - Statale
7195;Accademia di Belle Arti di Bologna;Pubblico - Statale
7299;Accademia di Belle Arti di Milano - Brera;Pubblico - Statale
7292;Accademia di Belle Arti di Catania;Pubblico - Statale
7212;Accademia di Belle Arti di Catanzaro;Pubblico - Statale
7243;Accademia di Belle Arti di Firenze;Pubblico - Statale
7245;Accademia di Belle Arti di Foggia;Pubblico - Statale
7310;Accademia di Belle Arti di Frosinone;Pubblico - Statale
7267;Accademia di Belle Arti di Genova;Pubblico - Statale
7237;Accademia di Belle Arti di L'Aquila;Pubblico - Statale
7321;Accademia di Belle Arti di Lecce;Pubblico - Statale
7297;Accademia di Belle Arti di Macerata;Pubblico - Statale
7316;Accademia di Belle Arti di Napoli;Pubblico - Statale
7219;Accademia di Belle Arti di Palermo;Pubblico - Statale
7291;Accademia di Belle Arti di Ravenna;Pubblico - Statale
7194;Accademia di Belle Arti di Reggio Calabria;Pubblico - Statale
7295;Accademia di Belle Arti di Roma;Pubblico - Statale
7240;Accademia di Belle Arti di Sassari;Pubblico - Statale
7318;Accademia di Belle Arti di Urbino;Pubblico - Statale
7234;Accademia di Belle Arti di Perugia;Pubblico - Statale
7196;Accademia di Belle Arti di Venezia;Pubblico - Statale
7306;Accademia di Belle Arti di Verona;Pubblico - Statale
7213;Accademia di Belle Arti di Carrara;Pubblico - Statale
7215;Accademia Nazionale di Arte Drammatica di Roma - Silvio D'Amico;Pubblico - Statale
7285;Accademia Nazionale di Danza di Roma ;Pubblico - Statale
7198;Conservatorio di Musica di Adria - Antonio Buzzolla;Pubblico - Statale
7262;Conservatorio di Musica di Alessandria - Antonio Vivaldi;Pubblico - Statale
7257;Conservatorio di Musica di Avellino - Domenico Cimarosa;Pubblico - Statale
7305;Conservatorio di Musica di Bari - Niccolò Piccinni;Pubblico - Statale
7301;Conservatorio di Musica di Benevento - Nicola Sala;Pubblico - Statale
7199;Conservatorio di Musica di Bologna - Giovan B. Martini;Pubblico - Statale
7270;Conservatorio di Musica di Bolzano - Claudio Monteverdi;Pubblico - Statale
7300;Conservatorio di Musica di Brescia - Luca Marenzio;Pubblico - Statale
7320;Conservatorio di Musica di Cagliari - Pierluigi da Palestrina;Pubblico - Statale
7210;Conservatorio di Musica di Campobasso - Lorenzo Perosi;Pubblico - Statale
7201;Conservatorio di Musica di Castelfranco Veneto - A. Steffani;Pubblico - Statale
7248;Conservatorio di Musica di Reggio Emilia e Castel Novo ne' Monti - Achille Peri e Claudio Merulo;Pubblico - Statale
7202;Conservatorio di Musica di Cesena - Bruno Maderna;Pubblico - Statale
7304;Conservatorio di Musica di Como - Giuseppe Verdi;Pubblico - Statale
7209;Conservatorio di Musica di Cosenza - Stanislao Giacomantonio;Pubblico - Statale
7324;Conservatorio di Musica di Cuneo - G.F. Ghedini;Pubblico - Statale
7203;Conservatorio di Musica di Fermo - Giovambattista Pergolesi;Pubblico - Statale
7258;Conservatorio di Musica di Ferrara - Girolamo Frescobaldi;Pubblico - Statale
7326;Conservatorio di Musica di Firenze - Luigi Cherubini;Pubblico - Statale
7322;Conservatorio di Musica di Foggia - Umberto Giordano;Pubblico - Statale
7331;Conservatorio di Musica di Frosinone - Licinio Refice;Pubblico - Statale
7293;Conservatorio di Musica di Genova - Nicolò Paganini;Pubblico - Statale
19454;Istituto Statale Superiore di Studi Musicali e Coreutici di Teramo - Gaetano Braga;Pubblico - Statale
7246;Conservatorio di Musica di La Spezia - Giacomo Puccini;Pubblico - Statale
7204;Conservatorio di Musica di L'Aquila - Alfredo Casella;Pubblico - Statale
7286;Conservatorio di Musica di Latina - Ottorino Respighi;Pubblico - Statale
7239;Conservatorio di Musica di Lecce - Tito Schipa;Pubblico - Statale
7333;Conservatorio di Musica di Mantova - Lucio Campiani;Pubblico - Statale
7271;Conservatorio di Musica di Matera - Egidio R. Duni;Pubblico - Statale
7290;Conservatorio di Musica di Messina - Arcangelo Corelli;Pubblico - Statale
7250;Conservatorio di Musica di Milano - Giuseppe Verdi;Pubblico - Statale
7259;Conservatorio di Musica di Monopoli - Nino Rota;Pubblico - Statale
7222;Conservatorio di Musica di Napoli - S. Pietro a Majella;Pubblico - Statale
7317;Conservatorio di Musica di Novara - Guido Cantelli;Pubblico - Statale
7327;Conservatorio di Musica di Padova - Cesare Pollini;Pubblico - Statale
7263;Conservatorio di Musica di Palermo - Vincenzo Bellini;Pubblico - Statale
7220;Conservatorio di Musica di Parma - Arrigo Boito;Pubblico - Statale
7247;Conservatorio di Musica di Perugia - Francesco Morlacchi;Pubblico - Statale
7205;Conservatorio di Musica di Pesaro - Gioacchino Rossini;Pubblico - Statale
7314;Conservatorio di Musica di Pescara - Luisa d'Annunzio;Pubblico - Statale
7287;Conservatorio di Musica di Piacenza - Giuseppe Nicolini;Pubblico - Statale
7307;Conservatorio di Musica di Potenza - Gesualdo da Venosa;Pubblico - Statale
7206;Conservatorio di Musica di Reggio Calabria - Francesco Cilea;Pubblico - Statale
7309;Conservatorio di Musica di Roma - Santa Cecilia;Pubblico - Statale
7294;Conservatorio di Musica di Rovigo - Francesco Venezze;Pubblico - Statale
7214;Conservatorio di Musica di Salerno - G. Martucci;Pubblico - Statale
7211;Conservatorio di Musica di Sassari - Luigi Canepa;Pubblico - Statale
7311;Conservatorio di Musica di Torino - Giuseppe Verdi;Pubblico - Statale
7269;Conservatorio di Musica di Trapani - Antonio Scontrino;Pubblico - Statale
7288;Conservatorio di Musica di Trento - Francesco A. Bonporti;Pubblico - Statale
7289;Conservatorio di Musica di Trieste - Giuseppe Tartini;Pubblico - Statale
7335;Conservatorio di Musica di Udine - Jacopo Tomadini;Pubblico - Statale
7207;Conservatorio di Musica di Venezia - Benedetto Marcello;Pubblico - Statale
7208;Conservatorio di Musica di Verona - E. F. dall'Abaco;Pubblico - Statale
7284;Conservatorio di Musica di Vibo Valentia -  Fausto Torrefranca;Pubblico - Statale
7325;Conservatorio di Musica di Vicenza - Arrigo Pedrollo;Pubblico - Statale
7253;Conservatorio di Musica di Nocera Terinese (CZ) - P.I. Tchaikovsky;Pubblico - Statale
7255;Conservatorio di Musica di Pavia - Franco Vittadini;Pubblico - Statale
7283;Conservatorio di Musica di  Ribera (AG) - Arturo Toscanini;Pubblico - Statale
7319;Conservatorio di Musica di Rimini - G. Lettimi;Pubblico - Statale
7226;Conservatorio di Musica di Siena - Rinaldo Franci;Pubblico - Statale
7265;ISSM Aosta della Valle d'Aosta;Pubblico - Non Statale
7329;Conservatorio di Musica di Caltanisetta - Vincenzo Bellini ;Pubblico - Statale
7224;Conservatorio di Musica di Catania - Vincenzo Bellini;Pubblico - Statale
7249;Conservatorio di Musica di Cremona - Claudio Monteverdi;Pubblico - Statale
7323;Conservatorio di Musica di Gallarate (VA) - Giacomo Puccini;Pubblico - Statale
7298;Conservatorio di Musica di Livorno - Pietro Mascagni;Pubblico - Statale
7268;Conservatorio di Musica di Lucca - Luigi Boccherini;Pubblico - Statale
7264;Conservatorio di Musica di Modena Orazio Vecchi - Antonio Tonelli;Pubblico - Statale
7225;Conservatorio di Musica di Ravenna - Giuseppe Verdi;Pubblico - Statale
7261;Conservatorio di Musica di Taranto - Giovanni Paisiello;Pubblico - Statale
7227;Conservatorio di Musica di Terni - Giulio Briccialdi;Pubblico - Statale
7303;Istituto sup. per le industrie artistiche (ISIA) di Faenza;Pubblico - Statale
7197;Istituto sup. per le industrie artistiche (ISIA) di Firenze;Pubblico - Statale
7241;Istituto sup. per le industrie artistiche (ISIA) di Roma;Pubblico - Statale
7252;Istituto sup. per le industrie artistiche (ISIA) di Urbino;Pubblico - Statale
34050;Istituto sup. per le industrie artistiche (ISIA) di Pescara;Pubblico - Statale
7315;Politecnico delle Arti di Bergamo;Pubblico - Statale
