programme_type_code;programme_type_name_it;probramme_type_name_en;
PL;Diploma accademico di primo livello;;ISCED6
SL;Diploma accademico di secondo livello;;ISCED7
SLQCU;Diploma accademico di secondo livello quinquennale a ciclo unico, abilitante alla professione (riguarda il solo corso di Restauro) ;;ISCED7
MPL;Diploma di perfezionamento o master di primo livello;;ISCED6
MSL;Diploma di perfezionamento o master di secondo livello;;ISCED7
SP;Diploma accademico di specializzazione;;ISCED7
DR;Dottorato di ricerca;;ISCED8
VO;Diploma di vecchio ordinamento ;;ISCED7
;;;
;;;
;;;
