ID_VOTO_LAUREA_OLD;DESCRIZIONE;VOTO_LAUREA_NUMERICO;ID_VOTO_LAUREA;ID_FAS
L66;Laurea: 66/110 - 60/100;66;L66;1
L67;Laurea: 67/110 - 61/100;67;L67;1
L68;Laurea: 68/110 - 62/100;68;L68;1
L69;Laurea: 69/110 - 63/100;69;L69;1
L70;Laurea: 70/110 - 64/100;70;L70;1
L71;Laurea: 71/110 - 65/100;71;L71;1
L72;Laurea: 72/110 - 65/100;72;L72;1
L73;Laurea: 73/110 - 66/100;73;L73;1
L74;Laurea: 74/110 - 67/100;74;L74;1
L75;Laurea: 75/110 - 68/100;75;L75;1
L76;Laurea: 76/110 - 69/100;76;L76;2
L77;Laurea: 77/110 - 70/100;77;L77;2
L78;Laurea: 78/110 - 71/100;78;L78;2
L79;Laurea: 79/110 - 72/100;79;L79;2
L80;Laurea: 80/110 - 73/100;80;L80;2
L81;Laurea: 81/110 - 74/100;81;L81;2
L82;Laurea: 82/110 - 75/100;82;L82;2
L83;Laurea: 83/110 - 75/100;83;L83;2
L84;Laurea: 84/110 - 76/100;84;L84;2
L85;Laurea: 85/110 - 77/100;85;L85;2
L86;Laurea: 86/110 - 78/100;86;L86;3
L87;Laurea: 87/110 - 79/100;87;L87;3
L88;Laurea: 88/110 - 80/100;88;L88;3
L89;Laurea: 89/110 - 81/100;89;L89;3
L90;Laurea: 90/110 - 82/100;90;L90;3
L91;Laurea: 91/110 - 83/100;91;L91;3
L92;Laurea: 92/110 - 84/100;92;L92;3
L93;Laurea: 93/110 - 85/100;93;L93;3
L94;Laurea: 94/110 - 85/100;94;L94;3
L95;Laurea: 95/110 - 86/100;95;L95;3
L96;Laurea: 96/110 - 87/100;96;L96;4
L97;Laurea: 97/110 - 88/100;97;L97;4
L98;Laurea: 98/110 - 89/100;98;L98;4
L99;Laurea: 99/110 - 90/100;99;L99;4
L100;Laurea: 100/110 - 91/100;100;L100;4
L101;Laurea: 101/110 - 92/100;101;L101;4
L102;Laurea: 102/110 - 93/100;102;L102;4
L103;Laurea: 103/110 - 94/100;103;L103;4
L104;Laurea: 104/110 - 95/100;104;L104;4
L105;Laurea: 105/110 - 95/100;105;L105;4
L106;Laurea: 106/110 - 96/100;106;L106;5
L107;Laurea: 107/110 - 97/100;107;L107;5
L108;Laurea: 108/110 - 98/100;108;L108;5
L109;Laurea: 109/110 - 99/100;109;L109;5
L110;Laurea: 110/110 - 100/100;110;L110;5
L111;Laurea: 110/110 - 100/100 con lode;111;L111;6
L112;Idoneo;112;L112;7
9997;Voto non previsto;997;9997;
9998;Laurea estera;998;9998;8
9999;Voto non fornito;999;9999;9
